;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;PvotTGL;;PvotCounofSiteID;;;;;;;;;PivotUpSLADLULVOLTSOC;;;;;;;;;PivotSiteIDSiteName;;136;96;PivotDeskripsiAll;;;;;;;;PivotListKPIPOWER;;;PivotListKPITRANSPORT;;;;;;
;;;Row Labels;;Count of Site ID;Column Labels;;;;;;;;Uptime;SLAVSAT;DL (Mbps);UL (Mbps);BattVolt1(V);BattSOC(%);Signal Quality(%);Stream Error(%);;Row Labels;Site Name;List KPI POWER;List KPI TRANSPORT; ;Site Name;Alrm BTS;Equipment Type;STATUS SLA BTS;STSTUS VSAT;;;Row Labels;Site Name;;Row Labels;Site Name;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0338;WEGEKEBO;#N/A;ADUAN;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0339;YINUTADI;#N/A;POWER;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0354;WOTAI;#N/A;NO TIKET;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0355;KENIAPA;#N/A;NO TIKET;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0361;EDIKUMEIDA;#N/A;POWER;SP1;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0369;IYOBADO;#N/A;NO TIKET;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0390;TAMUGAUWO;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0390;TAMUGAUWO;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0392;DEI;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0392;DEI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0397;PUGOWOGE;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0397;PUGOWOGE;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0398;BOBA;#N/A;VSAT;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0438;YOUTADI;#N/A;BTS;SP1;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0440;YUMAUWO;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0440;YUMAUWO;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0441;YOUTADI (II);#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0441;YOUTADI (II);;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0470;EKAUWIYA;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0470;EKAUWIYA;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0471;DEBAKEBOUDA;#N/A;NO TIKET;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0474;OKONOBAIDA;#N/A;VSAT;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0475;BAGUWO;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0475;BAGUWO;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0480;SAURI SIRAMI;#N/A;ADUAN;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0480;SAURI SIRAMI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0483;KALI BARU;#N/A;CCTV;NOK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0483;KALI BARU;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0500;UNAREU;#N/A;ADUAN;NOK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0500;UNAREU;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0538;NAU;#N/A;CCTV;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0538;NAU;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0581;ODORI;#N/A;CCTV;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0582;BINIKI;#N/A;POWER;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0583;DIDIABOLO;#N/A;CCTV;BAD;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0589;WONGKEINA;#N/A;CCTV;BAD;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0590;YAMNAISU;#N/A;CCTV;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0591;IMBIRSBARI;#N/A;ADUAN;BAD;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0592;INEKI;#N/A;CCTV;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0592;INEKI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0593;INSUMBREI;#N/A;POWER;SP1;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0594;KOIRYAKAM;#N/A;ADUAN;SP1;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0595;WAYORI;#N/A;VSAT;SP1;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0596;AMYAS;#N/A;CCTV;SP1;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0597;NAPINSDI;#N/A;CCTV;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0598;MASYAI;#N/A;CCTV;NOK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0598;MASYAI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0618;DOUFO;#N/A;CCTV;SP1;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0620;WAHUKA;#N/A;VSAT;BAD;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0620;WAHUKA;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0649;KORDESI;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0649;KORDESI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0740;MAUWA;#N/A;VSAT;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0743;DIKIYOUWA;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0743;DIKIYOUWA;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0744;IDAKOTU;#N/A;BTS;SP1;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0746;ABAIMAIDA;#N/A;BTS;NOK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0746;ABAIMAIDA;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0748;DAWAIKUNU;#N/A;VSAT;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0761;PUGATADI I;#N/A;NO TIKET;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0763;IKRAR;#N/A;NO TIKET;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0764;OBAYO;#N/A;VSAT;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0765;KUYAKAGO;#N/A;NO TIKET;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0766;MOGOU;#N/A;NO TIKET;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0767;YAMETADI;#N/A;NO TIKET;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0768;DUNTEK;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0768;DUNTEK;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0769;EKIMANI;#N/A;NO TIKET;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0793;BOKAIBUTU;#N/A;NO TIKET;BAD;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0793;BOKAIBUTU;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0796;PIYAKUNU;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0796;PIYAKUNU;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0805;KIGAMANI;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0805;KIGAMANI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0806;IDADAGI;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0806;IDADAGI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0807;DENEMANI;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0807;DENEMANI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0808;MAKADIMI;#N/A;NO TIKET;BAD;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0808;MAKADIMI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0810;MOTITO;#N/A;VSAT;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0912;YABA I;#N/A;NO TIKET;NOK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0912;YABA I;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0913;WAGHETE II;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0913;WAGHETE II;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0914;BOMOU I;#N/A;NO TIKET;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0915;OKOMOKEBO;#N/A;NO TIKET;BAD;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0915;OKOMOKEBO;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0916;BOMOU II;#N/A;NO TIKET;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0917;ATOUDA;#N/A;NO TIKET;BAD;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0917;ATOUDA;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0918;ONEIBO;#N/A;NO TIKET;SP1;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0921;OKOMOTADI;#N/A;NO TIKET;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0925;AMAGO;#N/A;NO TIKET;SP1;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0926;IDEGEE;#N/A;NO TIKET;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0927;PEKU;#N/A;NO TIKET;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0928;DAMABAGATA;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0928;DAMABAGATA;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0930;DAKEBO;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0930;DAKEBO;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0931;BAGOU;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0931;BAGOU;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0932;DAGOKEBO;#N/A;NO TIKET;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0933;IPOKE;#N/A;NO TIKET;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0936;BAGUMOMA;#N/A;NO TIKET;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0939;IDAYODAGI;#N/A;NO TIKET;NOK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0939;IDAYODAGI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0940;KOPAI I;#N/A;NO TIKET;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0943;YEWADIDE;#N/A;NO TIKET;SP1;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0944;MUDETADI;#N/A;NO TIKET;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0945;DIITA;#N/A;NO TIKET;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0946;GAKOKEBO;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0946;GAKOKEBO;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0947;DEMAGO;#N/A;NO TIKET;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0949;ONAGO;#N/A;NO TIKET;NOK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0949;ONAGO;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0950;WAGOMANI;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0950;WAGOMANI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0951;DIGIBAGATA;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0951;DIGIBAGATA;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0952;PIYAKADEMI;#N/A;NO TIKET;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0954;TENEDAGI;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0954;TENEDAGI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0958;YAGU;#N/A;NO TIKET;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0963;KOGEMANI;#N/A;NO TIKET;NOK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0963;KOGEMANI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0964;DIGIKOTU;#N/A;NO TIKET;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0966;EPANAI;#N/A;NO TIKET;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0968;MOGODADI;#N/A;NO TIKET;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0969;YAMOUWITINA;#N/A;NO TIKET;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0984;ARURI;#N/A;NO TIKET;SP1;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0984;ARURI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0990;KAMANAP;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0990;KAMANAP;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1000;KUMPEKI;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1000;KUMPEKI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1002;WADERBO;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1002;WADERBO;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1003;WADIBU;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1003;WADIBU;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1004;AFEFBO;#N/A;NO TIKET;SP1;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1004;AFEFBO;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1005;SAURI;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1005;SAURI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1006;SAWA;#N/A;NO TIKET;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1007;SOON;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1007;SOON;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1008;SEPSE;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1008;SEPSE;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1009;SUNDE;#N/A;NO TIKET;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1010;ARMNU;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1010;ARMNU;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1011;KARNINDI;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1011;KARNINDI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1012;MAMBEORI;#N/A;NO TIKET;SP1;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1013;WARAWAF;#N/A;NO TIKET;BAD;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1014;BIAWER;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1014;BIAWER;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1015;MANIRI;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1015;MANIRI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1016;SAMBAWOFUAR;#N/A;NO TIKET;SP1;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1016;SAMBAWOFUAR;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1017;RARMPIMBO;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1017;RARMPIMBO;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1018;SAMBERSUP;#N/A;NO TIKET;NOK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1018;SAMBERSUP;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1019;SANUMI;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1019;SANUMI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1021;AMYAMBENRAM;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1021;AMYAMBENRAM;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1022;WARBERIK;#N/A;NO TIKET;SP1;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1022;WARBERIK;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1024;RAMDORI;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1024;RAMDORI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1025;SASWARBO;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1025;SASWARBO;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1026;ANJAREUW;#N/A;NO TIKET;SP1;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1026;ANJAREUW;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1027;MARYENDI;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1027;MARYENDI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1028;MAKUKER;#N/A;NO TIKET;NOK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1028;MAKUKER;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1030;MADI;#N/A;NO TIKET;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1036;MEMOWA;#N/A;NO TIKET;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1044;YAWERMA;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1044;YAWERMA;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1045;DAKABADO;#N/A;NO TIKET;SP1;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1048;MARYAIDORI;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1048;MARYAIDORI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1049;KOBARI JAYA;#N/A;NO TIKET;SP1;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1051;AIR MANDIDI;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1051;AIR MANDIDI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1052;HUMBEHAWAI;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1052;HUMBEHAWAI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1056;SAWADORI;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1056;SAWADORI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1057;EKODAGI;#N/A;NO TIKET;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1058;DIMI;#N/A;NO TIKET;NOK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1058;DIMI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1059;MANGGONSWAN;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP1059;MANGGONSWAN;;;;SP1;;;;;;;;;;;;
